AND
Heights:,47.16711,51.52539,47.16699,36.17435,46.68282,37.43341,36.75546,40.53268,48.66829,32.83301
Widths:,40.6203,34.5394,37.11771,36.72849,51.95499,45.3876,39.8419,35.51228,42.37161,36.19339
Ratios (width/height):,0.861199679183,0.67033747828,0.786942520606,1.015318589,1.11293597945,1.21248905724,1.08397228602,0.876139450932,0.870620479988,1.10234760687
Perfect Ratio:,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
XNOR
Heights:,73.26877,70.65381,67.40921,75.448,71.52539,45.7627,61.84021,37.48181,49.9758
Widths:,110.4287,92.1861,75.74339,83.04037,94.56979,51.41989,91.84552,53.1225,70.10037
Ratios (width/height):,1.50717283776,1.30475766275,1.12363562783,1.10063050048,1.32218489127,1.12362010983,1.48520711686,1.41728747891,1.40268630017
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XOR
Heights:,60.29056,61.54961,48.13559,52.59079,58.49879,52.10649,54.09201,63.63202
Widths:,52.782,70.29489,53.12253,56.96571,54.29007,40.0365,71.17062,60.27368
Ratios (width/height):,0.875460436924,1.14208505952,1.10360192947,1.08318794983,0.928054580274,0.768359181361,1.31573258232,0.947222483272
Perfect Ratio:,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
NAND
Heights:,32.2034,41.6465,41.35599,27.60291,37.43341,31.76758,28.76514,24.55209,27.89346,35.10889
Widths:,51.3226,53.46301,51.56589,42.03102,60.3223,49.66861,51.51718,38.5285,42.858,51.71181
Ratios (width/height):,1.5937012862,1.28373356705,1.24687838449,1.52270249767,1.61145618313,1.56349995813,1.79095877858,1.56925540758,1.53648919854,1.47289788996
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NOT
Heights:,44.68704,33.70459,33.12347,37.48181,35.448,28.32921,24.16464,22.95401,32.30026,41.5013,35.39949,28.76511,42.03389,28.37772
Widths:,71.00818,52.34409,40.4743,53.02518,70.92731,59.8358,46.40924,50.34961,57.59805,71.46242,55.84682,37.75,70.44089,55.31158
Ratios (width/height):,1.58901059457,1.55302556714,1.22192209935,1.41469101946,2.00088326563,2.11215914598,1.92054340557,2.19349952361,1.78320700824,1.72193208406,1.57761651368,1.31235375078,1.67581182708,1.94911994339
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OR
Heights:,65.90799,41.9855,71.5739,63.82561,43.293,49.92735,39.66101,37.57858,37.14285,43.43832,53.8015,42.03389
Widths:,50.54422,38.7717,61.052,57.16028,46.36063,50.25235,52.92789,54.67921,35.5123,47.96588,54.28998,51.5658
Ratios (width/height):,0.766890630408,0.923454525967,0.852992501457,0.895569662397,1.07085741344,1.00650945824,1.33450686203,1.45506323017,0.956100568481,1.10422962951,1.00907930076,1.22676725851
Perfect Ratio:,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333
NOR
Heights:,62.85715,48.8571,75.7869,59.75781,62.85719,53.12347,39.85483,49.73366,43.3898,44.35835,39.5641
Widths:,94.1806,73.75378,82.94318,80.12161,75.50009,63.97067,59.2034,69.03012,72.9705,60.56554,61.29518
Ratios (width/height):,1.49832755701,1.50958161659,1.09442634545,1.34077219363,1.2011368946,1.20418846886,1.48547616437,1.38799597697,1.68174317466,1.36536954147,1.54926258906
Perfect Ratio:,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333
