AND
Heights:,50.7196,49.51089,48.53473,63.7366,51.2775,51.18451,38.91139,42.16562,30.49689,29.70651,31.19418,38.16754,32.8678,45.32687
Widths:,47.24585,32.37946,60.16656,50.16479,51.33234,44.01581,47.51843,34.09186,35.02576,39.85162,39.96838,43.47095,44.63849,50.39832
Ratios (width/height):,0.931510698034,0.653986627992,1.23965993012,0.787064104455,1.00106947492,0.859943955701,1.22119590177,0.808522677954,1.14850268339,1.34151133876,1.28127682792,1.13895079431,1.35812223514,1.11188617259
Perfect Ratio:,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
XNOR
Heights:,46.48911,61.73752,44.4436,44.21114,41.97968,43.60678
Widths:,77.71844,83.08905,63.31903,65.80969,68.10583,75.07202
Ratios (width/height):,1.6717558155,1.34584366201,1.4247052444,1.48853184967,1.62235229044,1.72156760944
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0
XOR
Heights:,72.70892,56.76321,52.9975,49.97577,49.27847,48.81354,44.7225,45.23392,44.21115,31.05472,44.62952,35.79662,44.11816,47.88379
Widths:,75.69476,57.20886,52.9668,63.28003,60.04987,71.91974,48.64697,58.92133,58.104,49.46429,51.79932,58.76556,56.85858,67.01611
Ratios (width/height):,1.04106566292,1.00785103591,0.999420727393,1.2662142074,1.21858227335,1.47335636793,1.08775157918,1.30259172762,1.31423860271,1.59281069029,1.16065151496,1.64165108326,1.28877949579,1.39955734498
Perfect Ratio:,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
NAND
Heights:,51.64941,60.20337,48.44165,32.31,42.39801,37.79562,32.07748,36.1685
Widths:,65.69299,72.81482,69.39008,60.90607,57.01428,70.40198,53.16144,52.3053
Ratios (width/height):,1.27190204109,1.20948079817,1.43244666521,1.88505323429,1.34473952905,1.86270208029,1.65728230522,1.44615618563
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NOT
Heights:,41.42178,39.09732,40.81744,31.24068,37.19128,57.32111,28.12599,29.19513,35.2852,34.03012,34.77393,37.93512,27.70749,26.82422,32.58887
Widths:,61.41199,48.64703,67.44421,47.71298,48.14105,32.5741,43.47101,38.9176,38.83981,48.37451,59.19366,43.97687,56.74188,46.77893,51.95502
Ratios (width/height):,1.4826014237,1.24425484918,1.65233806922,1.52727085326,1.29441766995,0.568274061685,1.54558150664,1.33301684219,1.10073940349,1.42152040604,1.70224245577,1.15926534567,2.04788957787,1.74390643978,1.59425656674
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OR
Heights:,68.98981,51.92834,51.88184,59.97101,52.11429,40.02711,50.81256,41.56125,53.09056,47.69785,44.07166,32.96082,50.48715,41.56125,39.93414,32.77481,31.93802
Widths:,62.22919,73.47644,59.93311,64.72003,50.78754,50.82642,53.2782,57.40344,52.6944,50.16479,53.9787,47.67395,48.33563,46.19519,51.2934,43.00397,46.19519
Ratios (width/height):,0.902005528063,1.41495838303,1.15518474287,1.07918859462,0.974541531699,1.26979989312,1.04852422314,1.38117693765,0.992538033127,1.05172015091,1.22479389249,1.44638240189,0.957384799895,1.11149664652,1.28444984667,1.31210432646,1.4464011858
Perfect Ratio:,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333
NOR
Heights:,49.74329,38.5394,35.3782,40.86392,32.68184
Widths:,66.31561,50.04797,50.8653,45.33905,56.58618
Ratios (width/height):,1.33315689413,1.29861829712,1.43775828052,1.10951298847,1.7314257704
Perfect Ratio:,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333
