AND
Heights:,47.60291,36.4649,45.61743,54.38257,60.96854,63.00244,57.28821,61.79172,79.41892,70.70218
Widths:,55.5549,41.83643,66.01401,66.30585,92.81848,79.00269,55.65219,88.73212,93.4996,82.0675
Ratios (width/height):,1.16704840103,1.14730686222,1.44712251435,1.21924818926,1.5223995851,1.25396238622,0.971442291529,1.43598721641,1.17729629161,1.16074921594
Perfect Ratio:,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
XNOR
Heights:,55.59329,61.30759,43.53511,44.64891,34.18886,53.1719,56.27121,63.97089,47.74817
Widths:,79.92702,112.4718,70.10034,85.22955,79.29462,86.34839,98.26691,109.1639,91.16449
Ratios (width/height):,1.43770983872,1.83454936004,1.61020243201,1.90888310599,2.31931161203,1.6239477995,1.74630881405,1.70646211113,1.90927715135
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XOR
Heights:,40.62955,35.98063,56.31958,49.9274,44.40676,49.29787,44.45518,51.81596
Widths:,60.41956,54.67926,67.3761,69.41928,80.94861,68.20325,69.95441,62.26813
Ratios (width/height):,1.48708415427,1.51968600883,1.19631751515,1.39040446729,1.82288935288,1.38349283651,1.57359412334,1.20171719293
Perfect Ratio:,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
NAND
Heights:,55.2542,63.5351,41.06537,40.77481,38.20822,58.2567,41.74332,58.2567,40.1452,57.96609
Widths:,63.63031,82.2135,66.64639,71.17059,62.36539,102.6452,81.77557,98.12109,91.2132,105.6127
Ratios (width/height):,1.15159227715,1.29398552926,1.62293411699,1.74545485313,1.63225059948,1.76194669454,1.95900972898,1.68428850244,2.2720823411,1.82197384712
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NOT
Heights:,29.5883,47.02179,44.01938,34.96368,66.48914,53.84989,41.3559,38.3051,43.293,52.30029,47.31238,41.01691,50.46004,47.99031
Widths:,46.36061,70.00299,70.78137,61.87897,89.6077,96.07782,83.67282,88.73221,83.38101,87.7106,85.81342,68.20309,78.75946,77.00824
Ratios (width/height):,1.56685615598,1.48873511621,1.60795926703,1.76980712557,1.34770430179,1.78417857492,2.02323779678,2.31645942707,1.92596978726,1.67705762243,1.81376248669,1.66280419466,1.56082833069,1.60466227453
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OR
Heights:,43.48671,53.9951,48.3293,33.46247,31.38014,40.09686,39.46738,60.58121,49.97581,46.29538,81.3559,57.57869
Widths:,50.78751,57.9873,56.91699,50.39832,57.06293,66.06262,62.80328,106.1964,71.51111,76.32721,93.013,89.70508
Ratios (width/height):,1.16788577476,1.07393633867,1.17769117285,1.50611476081,1.81844089924,1.64757589497,1.59127056318,1.7529593747,1.43091447642,1.64870036708,1.14328524422,1.55795625083
Perfect Ratio:,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333
NOR
Heights:,40.53267,52.20339,50.12106,40.62954,39.61259,38.98311,57.09439,50.02422,59.22514,45.27849,53.55935
Widths:,58.96021,75.15961,74.23535,72.43539,89.36456,73.21378,92.96451,78.85681,91.2131,74.77048,86.34851
Ratios (width/height):,1.45463424936,1.4397457713,1.48112091005,1.78282574698,2.25596357118,1.87808976759,1.6282599744,1.57637260511,1.54010779882,1.65134658863,1.61220235122
Perfect Ratio:,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333
