AND
Heights:,92.49396,86.44064,81.88861,71.23492,84.35831,94.62471,80.92004,84.98788,77.96608,51.71913
Widths:,110.8665,82.26208,119.1849,91.11609,102.402,107.6558,100.7966,96.51569,70.00311,105.0775
Ratios (width/height):,1.19863502438,0.951659774847,1.45545149686,1.27909303471,1.21389345045,1.13771339431,1.24563210794,1.13564063488,0.897866225928,2.03169504205
Perfect Ratio:,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
XNOR
Heights:,65.6174,80.62952,84.26151,87.99033,87.7966,72.59082,91.18649,85.37529,87.69981,108.6198,80.8717
Widths:,142.1466,144.1897,144.0924,113.834,165.6431,154.4056,154.6974,115.7312,166.616,160.389,171.5294
Ratios (width/height):,2.16629430608,1.78829912419,1.71006192507,1.29371034294,1.88666873205,2.12706785789,1.69649473294,1.35555849942,1.89984448085,1.47660923699,2.12100648311
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XOR
Heights:,94.28571,95.4964,112.3002,77.43353,90.46005,80.92009,98.54706,90.84744
Widths:,112.5691,117.288,139.2277,115.8285,141.6601,132.9523,149.6869,110.8179
Ratios (width/height):,1.19391475124,1.22819289523,1.23978140733,1.49584424215,1.56599626023,1.64300731747,1.51893826158,1.21982413594
Perfect Ratio:,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
NAND
Heights:,66.68282,77.724,81.64651,85.32678,89.78207,96.61017,87.9903,83.53497,80.43585,87.31235
Widths:,106.7801,104.0071,125.1202,111.7422,102.0614,136.8441,124.2444,103.3262,124.3904,101.429
Ratios (width/height):,1.60131350174,1.33815938449,1.53246231835,1.30957947786,1.13676817654,1.41645646623,1.41202382535,1.23692149527,1.54645472137,1.1616798769
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NOT
Heights:,49.29779,73.46252,77.38501,73.22034,77.966,78.7894,60.9201,64.55212,77.38498,62.90558,66.7312,72.155,60,63.87408
Widths:,76.81348,114.369,98.70477,100.6993,85.1322,84.93774,75.30554,77.44598,103.6668,85.18091,80.55936,74.38129,88.6835,85.52142
Ratios (width/height):,1.55815260684,1.55683469611,1.27550245196,1.37529134664,1.09191442424,1.0780351164,1.23613618494,1.19974340115,1.33962430435,1.35410737807,1.20722180929,1.03085427205,1.47805833333,1.33890648601
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OR
Heights:,71.91278,78.40192,87.07021,93.8983,97.5303,95.88379,76.31958,83.92249,102.0339,90.26636,96.56169,86.97337
Widths:,91.74829,116.1203,92.76984,87.37,83.38098,92.42926,113.5421,105.1263,114.1259,100.1155,88.9754,92.6239
Ratios (width/height):,1.27582732861,1.48109000392,1.0654601614,0.930474779629,0.854923854433,0.963971699492,1.48771914101,1.25265944802,1.11850963258,1.10911196596,0.921435819941,1.06496850703
Perfect Ratio:,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333
NOR
Heights:,75.8354,80.72639,81.59805,96.99762,77.62711,82.42131,81.5981,84.74576,83.38983
Widths:,101.2344,101.7209,125.8498,107.7531,123.2715,119.7203,140.7358,107.8505,105.1262
Ratios (width/height):,1.33492274057,1.26006997216,1.54231381755,1.11088395777,1.58799548251,1.45254061116,1.72474359084,1.27263594072,1.26065972313
Perfect Ratio:,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333
