AND
Heights:,39.61261,52.34869,38.78931,34.62469,76.27118,54.91525,49.39468,41.93698,51.28329,47.26399
Widths:,73.31104,80.31619,42.32288,46.60376,90.14291,58.3764,50.30099,50.7388,57.59805,68.59222
Ratios (width/height):,1.85069956259,1.53425405679,1.09109649024,1.34596901806,1.18187380869,1.06302711906,1.01834833225,1.2098820659,1.12313484568,1.45125750069
Perfect Ratio:,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
XNOR
Heights:,56.75543,57.19128,58.98303,60.96854,62.71188,45.95642,45.37531,63.92252,63.24451,58.64407,45.90799
Widths:,99.72635,81.53238,95.98056,88.48892,104.0073,80.31619,93.69409,144.1411,106.2937,107.218,96.07776
Ratios (width/height):,1.7571243844,1.42560858928,1.62725719584,1.45138656756,1.6584943714,1.74765984818,2.06486941907,2.25493456766,1.68067868658,1.82828374634,2.09283307764
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XOR
Heights:,51.9129,58.0145,55.30264,55.93222,66.48911,58.8378,43.77725,42.3728
Widths:,72.38681,100.9912,82.21344,88.3916,96.56427,93.74268,72.62997,72.82462
Ratios (width/height):,1.39438964111,1.74079238811,1.48660968084,1.58033419736,1.45233211875,1.59323904021,1.65908023003,1.71866433184
Perfect Ratio:,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
NAND
Heights:,60.9201,56.56175,35.3511,41.3559,57.04602,42.90558,44.4552,39.95157,46.48911,48.6683
Widths:,92.23474,98.12097,59.3494,60.4682,83.38098,73.74881,60.66284,73.35968,68.78687,64.9437
Ratios (width/height):,1.51402804657,1.73475838354,1.67885582061,1.46214204019,1.46164412522,1.71886290781,1.36458367075,1.83621519755,1.47963404763,1.33441480389
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NOT
Heights:,34.38257,31.91283,49.29782,44.01929,45.85956,33.46249,31.67068,28.76514,39.56416,35.93221,41.25908,28.13559,42.0338,31.76758
Widths:,74.47858,81.3378,81.19186,74.819,72.14349,65.08969,59.30072,59.49527,69.85712,53.7063,69.61389,59.68988,59.30069,60.4682
Ratios (width/height):,2.16617256942,2.54874920212,1.64696653929,1.6996866601,1.57313960273,1.94515381252,1.87241701157,2.06831150483,1.76566670441,1.4946561873,1.68723805766,2.12150802596,1.41078584377,1.90345629097
Perfect Ratio:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OR
Heights:,49.34625,54.52783,49.83051,54.431,44.74579,46.10172,51.81598,52.73611,45.13318,30.50851,56.36804,61.54961
Widths:,60.56552,75.64609,68.78687,75.59741,63.09509,63.7276,50.78748,53.56039,73.26236,74.77045,68.00848,79.24585
Ratios (width/height):,1.22735810725,1.3872932409,1.38041673665,1.38886682222,1.41007880294,1.3823258655,0.980150910974,1.01563027686,1.62324835077,2.45080634879,1.20650780123,1.28751181364
Perfect Ratio:,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333,0.770833333333
NOR
Heights:,54.72156,56.70702,48.1356,40.24213,38.9346,78.11137,62.32445,50.46005,48.81359
Widths:,70.14899,85.22952,87.02948,65.38156,68.9328,115.9258,70.10034,80.21893,90.2402
Ratios (width/height):,1.28192599041,1.50298005432,1.80800654817,1.62470425894,1.77047664545,1.48410916362,1.12476467903,1.5897512983,1.84866960205
Perfect Ratio:,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.833333333333
